Category,Metric,Units,Q4FY25,Q1FY26,Q2FY26,Q3FY26,Q4FY26,Source Reference,Verification Status,Priority,Confidence,Notes
Quick commerce,Adjusted EBITDA,INR crore,-178,-162,-156,4,37,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,Adjusted EBITDA margin,% of NOV,-0.024,-0.018,-0.013,0,0.003,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,Orders,million,141.7,176.7,222.7,243.3,273.9,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Operating metrics
Quick commerce,Net average order value,INR,520,521,524,547,525,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Operating metrics
Quick commerce,Average monthly transacting customers,million,13.7,16.9,20.8,23.6,27.2,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Operating metrics
Quick commerce,Average monthly active delivery partners,'000,185,243,339,369,409,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Operating metrics
Quick commerce,Average NOV per day per store,INR '000,736,734,771,750,768,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Operating metrics
Quick commerce,Stores at period end,#,1301,1544,1816,2027,2243,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Operating metrics
Going-out,NOV,INR crore,1868,2013,2063,2587,2736,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
Going-out,NOV YoY growth,%,1.222,0.953,0.32,0.199,0.465,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Optional,Official quarterly filing,Segment table
Going-out,Revenue,INR crore,229,207,189,300,277,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
Going-out,Revenue YoY growth,%,1.462,1.179,0.227,0.158,0.21,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Optional,Official quarterly filing,Segment table
Going-out,Adjusted EBITDA,INR crore,-47,-54,-63,-121,-81,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
Going-out,Adjusted EBITDA margin,% of NOV,-0.025,-0.027,-0.031,-0.047,-0.03,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
B2B supplies (Hyperpure),Revenue,INR crore,1840,2295,1023,1070,978,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
B2B supplies (Hyperpure),Revenue YoY growth,%,0.935,0.894,-0.305,-0.36,-0.468,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Optional,Official quarterly filing,Segment table
B2B supplies (Hyperpure),Adjusted EBITDA,INR crore,-22,-18,-5,1,5,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
B2B supplies (Hyperpure),Adjusted EBITDA margin,% of Revenue,-0.012,-0.008,-0.005,0.001,0.005,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Segment table
Cash bridge,Adjusted EBITDA,INR crore,165,172,224,364,429,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Treasury income received,INR crore,195,235,171,228,319,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Capital expenditure incurred,INR crore,-317,-370,-417,-465,-494,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Other items,INR crore,148,107,-39,69,-157,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Cash burn / surplus,INR crore,191,144,-61,196,97,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Increase / decrease in net working capital,INR crore,-602,-111,-482,-690,55,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Change in cash,INR crore,-411,33,-543,-494,152,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Opening cash balance,INR crore,19235,18824,18857,18314,17820,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Cash bridge,Closing cash balance,INR crore,18824,18857,18314,17820,17972,"S8 | Eternal_Q4FY26.pdf | PDF p14 / filing p13 | Going-out, Hyperpure, cash balance",Verified visually,Required,Official quarterly filing,Cash balance table
Reconciliation,Revenue from operations,INR crore,5833,7167,13590,16315,17292,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted Revenue reconciliation
Reconciliation,Actual customer delivery charges paid in food delivery,INR crore,246,273,225,189,188,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted Revenue reconciliation
Reconciliation,Gross platform fee and other charges paid on food delivery orders,INR crore,186,213,254,304,315,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted Revenue reconciliation
Reconciliation,Platform fee and other charges already included in revenue,INR crore,77,89,101,116,115,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted Revenue reconciliation
Reconciliation,Adjusted revenue,INR crore,6188,7563,13968,16692,17680,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted Revenue reconciliation
Reconciliation,Adjusted EBITDA,INR crore,165,172,224,364,429,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Other income,INR crore,368,354,352,348,342,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Rental paid pertaining to Ind AS 116 leases,INR crore,124,153,189,231,265,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Depreciation and amortization expense,INR crore,287,314,376,439,468,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Finance cost,INR crore,56,67,86,107,132,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,ESOP expense,INR crore,217,210,174,227,208,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Exceptional items,INR crore,0,0,0,0,0,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Tax expense,INR crore,58,63,64,68,54,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
Reconciliation,Profit / (loss) for the period,INR crore,39,25,65,102,174,S8 | Eternal_Q4FY26.pdf | PDF p15 / filing p14 | Annexure B - Adjusted Revenue and Adjusted EBITDA reconciliation,Verified visually,Required,Official quarterly filing,Adjusted EBITDA reconciliation
